productId,userId,profileName,helpfulness,score,time,date,summary,text
B002QZ1RS6,A34F6FXWRU96I6,"Maria De La Rosa ""Lucia""",49/61,5.0,1254268800,2009-09-30 00:00:00,Amazing Program it have change my life for better and it is by far the best fitness program out there.,"Shaun T uses a technique called Max interval training. Basically he has you workout at 110% for a period of time and then do an extremely short break before you jump right into the workout routine again, but this time do it faster.<br /><br />This method is proving to be extremely effective and popular. It is interesting to note that at this point 64% of people think Insanity is a better workout then the ever popular P90X workout.<br /><br /> I believe it has exceeded the expectations of most that really care.<br /><br />The workout is 60 days long, and the first half is easier then the second half. The workouts start out at about 40 minutes long on average and in the second month increase to an hour long each day. And with the difficulty of the first 30 days the second 30 days should prove to be a real challenge for those willing to give it a shot.<br /><br />Shaun T's Max Interval training takes you through a series of workouts, then he repeats these workouts, but at a faster pace then before. Then once again you must repeat it a third time, but even faster. This makes the workouts easier to follow along with and is extremely effective... and difficult.<br /><br />Some of the most difficult aspects of the insanity workout is the level 1 and level 2 drills. These are a lot of up and down movements with push ups, jumps and they are very difficult to do.<br /><br />Many people are calling Insanity the P90X of cardio, but I think it is much more then that. It is a full body workout and is pretty difficult to do.<br />An let me tell you it does work you just have to be consistent with your work out and remember is not the program hows going to change you is you who decide to change with the help of this program. Good luck"
B002QZ1RS6,A1TU0BJNY0P9TW,"Scott E. Vezina ""thevez""",115/122,4.0,1255564800,2009-10-15 00:00:00,"Really good. Really, really, really HARD!","I've done and continue to use at home workout DVD's.  I am a P90X advocate and still enjoy it.  The ""Insanity"" workout is just that, INSANEly difficult.  I consider myself in an advanced category (or very close) in cardio workouts, but it took me three weeks to finish any of the workouts for the duration.  I found that after 30 minutes I just couldn't muster enough energy to complete the entire workout at the expected pace.<br /><br />This is a really tough workout.  It' the first time I've ever seen the actual participants take breaks during the routine.  Unless your ready to workout out to exhaustion, don't buy this yet.  Try P90X and P90X+ workouts.  If you can finish those without any breaks or exhaustion then this might work for you!"
B002QZ1RS6,A3B57GQU9GVTG5,T. Gamble,30/42,3.0,1255996800,2009-10-20 00:00:00,WHEW!!!!,"Let me  say this workout is way way over the top for cardio. I agree what Scott wrote about,if you haven't finished P90x don't even bother with this. I have done many cardio dvds before and never had to keep stopping to catch my breath.  I even saw some of his people in the video stopping and half doing it.  You will have to be in perfect shape for this. I had about 14 minutes left in the video so I stopped.  My pulse was beating so fast,and I got worried. Now it's a good video if you have the stamia to keep up. The video does tell you to go your own pace, but oh my, you will still pass out. I call it a quick, fast, stop for 30 seconds and back at it again cardio.  They named this dvd with the right title. I probably won't be doing this workout video. I will stick with what's best for my body."
B002QZ1RS6,A2CPC9OTB10XR7,L. Schulz,16/17,5.0,1256169600,2009-10-22 00:00:00,This is insanity!,"No bones about it- this is a tough workout dvd set. It is well made and I like Shaun T's style. It is tough. The latest research on CARDIO Fitness shows that 2 hours of intense cardio a week is the way to train your heart for all kinds of heath benefits. Well this DVD set will accomplish that. It is tough and you can take breaks, Shaun also encourages the use of a heart rate monitor. You have to listen to your body, take breaks when needed but also dig deep and push yourself."
B002QZ1RS6,A2CDESQB8MJTQH,Denise Arsenault,0/2,5.0,1258848000,2009-11-22 00:00:00,Excellent product!!,Excellent product! You see results within 60 days just like it says. I love it!!
B002QZ1RS6,AQ56Z8MOFLOLF,P. R. Ortega,6/20,3.0,1258848000,2009-11-22 00:00:00,good videos but mislabeled,The DVDs are fine but the labels on them are not what DVD is actually.  We had to go through and watch the videos and relabel them by what DVD it should say on the outside.
B002QZ1RS6,A22CXUZJN9L25R,Johanna Seele,18/89,1.0,1259020800,2009-11-24 00:00:00,"Insanity Workout - unable to ""really"" rate this product","I haven't been able to use the workout.  While it plays on my computer here at work, it won't play on my DVD player at home.  I emailed Lorraine Sperrazza twice, heard back from her once but haven't heard back from her with an answer to my second email. My first email stated that I could not play the Fitness DVD, that was before I found out that the entire set doesn't play on my DVD player at home. It's insane for them to think that I can do the work out at work!<br /><br />I also do not want a refund, I really want this program.  Any suggestions?  Can you guys help me instead?  I don't know where to return this so that I can get a replacement.  They obviously have my money...  HELP!!!<br /><br />Johanna"
B002QZ1RS6,A2CDESQB8MJTQH,Denise Arsenault,1/3,5.0,1259107200,2009-11-25 00:00:00,great product!!,"This is a GREAT workout!! You see results in 60 days,just like it says. I LOVE it!!"
B002QZ1RS6,A1ZOO9NUH3EVE,"PushingDaisies ""Stacy Trish""",9/9,5.0,1259625600,2009-12-01 00:00:00,"Shaun T kicks my butt, and his isn't half bad either!","I have played basketball, tennis, golf and soccer consistently throughout my life; I also attend a gym almost daily, live an active lifestyle and had a personal trainer for almost 3 months this past summer (longer than Insanity takes). I eat well (especially for a college student), but do drink a bit to cancel out some hard workout time. However, I have NEVER had results like I have with this DVD. I push myself when working out, especially when I'm with others who challenge me further, so this DVD set was right up my alley.<br /><br />Initially, the workout was a little intimidating and I had a hard time keeping up, but it was supportive to see that the workout was giving a good challenge even to people with ripped bodies - that told me that I would never get bored with this workout because I would always have something to work to. Plus there's always room to ""dig deeper!"" Furthermore, there's a woman in her 40's on his team - at 21 and in active shape I should be able to keep up!<br /><br />Shaun T presents a very intense, diversified and energetic workout that has left me feeling much stronger, more flexible and with greater stamina. Lastly, when I get out of a late class or work and the gym is closed, these DVDs are always ready to go no matter the time of day. I recommend this to any one looking for an incredible workout - as Shaun T would say, ""it's insanity!"""
B002QZ1RS6,A2ACXWMY4B61XS,"R. Benson ""CelticOne""",2/2,5.0,1259798400,2009-12-03 00:00:00,I'm sore!,"Great workout.. on day five and my legs have felt sore since day one.  Think it will be very beneficial, but I don't recommend it for people who are not already fairly active; it really is a difficult workout.  Enjoy!"
